AccusedID,CaseMasterID,FullName,AliasName,Gender,Age,DOB,MobileNumber,AadhaarNumber,Occupation,Address,DistrictID,DistrictName,ArrestStatus,CriminalHistory,GangAffiliation,RiskLevel,WeaponUsed
1,1,Advik Maharaj,Rocky,Male,24,1968-07-14,9914736535,270957763063,Private Employee,"81/960, Chander Nagar, Muzaffarpur-838637",12,Davanagere,Arrested,No,None,Medium,None
2,1,Aarini Dutta,Silent,Female,62,1992-07-23,9895163715,483276346579,Business,"351, Rai Zila, Secunderabad 940781",12,Davanagere,Arrested,Yes,None,Low,Hands
3,2,Chaaya Memon,Silent,Female,32,1999-07-08,9981024804,616426077141,Journalist,"10/341, Chaudhuri Ganj, Alwar 525534",29,Vijayanagara,Arrested,No,Organized Crime,Medium,Iron Rod
4,2,Harinakshi Walla,King,Female,66,1994-03-15,9906758587,422675620223,Shop Keeper,"48, Nair Ganj, Berhampur-564139",29,Vijayanagara,Arrested,Yes,None,Low,Stick
5,3,Jagvi Tata,Shadow,Female,39,1976-07-11,9914083790,854923885778,Labourer,"H.No. 23, Yohannan Circle, Bhimavaram-965328",21,Mandya,Arrested,Yes,None,Medium,Knife
6,4,Chakradev Batta,Silent,Male,47,2001-03-13,9889595604,812343829484,Farmer,"69/166, Sidhu, Begusarai-184514",3,Belagavi,Surrendered,No,None,Medium,Firearm
7,4,Farhan Setty,Black,Male,33,1955-09-23,9888624194,236977135959,Electrician,"14/89, Dua Ganj, Nanded 957015",3,Belagavi,Absconding,No,None,Medium,Knife
8,4,Kashvi Bhardwaj,Master,Female,61,1968-04-28,9918750560,604443841156,Doctor,"71/822, Gandhi Chowk, Dehri 383465",3,Belagavi,Arrested,No,None,Medium,Hands
9,4,Yauvani Seth,Black,Female,33,1961-12-20,9989247563,434322585512,Student,"H.No. 09, Karpe Circle, Chennai-031051",3,Belagavi,Absconding,No,None,Medium,Hands
10,5,Liam Sunder,Bullet,Male,36,1966-11-29,9884263539,534327379617,Software Engineer,"763, Chatterjee Zila, Raichur-670106",15,Hassan,Surrendered,No,None,Low,Hands
11,6,Darika Kothari,Black,Female,32,1965-09-16,9891052956,184854410948,Lawyer,"24, Krish Chowk, Mango-080132",22,Mysuru,Arrested,No,None,High,Hands
