VictimID,CaseMasterID,FullName,Gender,Age,DOB,MobileNumber,AadhaarNumber,Occupation,Address,DistrictID,DistrictName,InjuryType,InjurySeverity,Hospitalized,VictimStatus,StatementRecorded
1,1,Advik Maharaj,Male,14,1961-05-16,9914736535,270957763063,Software Engineer,"81/960, Chander Nagar, Muzaffarpur-838637",12,Davanagere,Minor Injury,Low,No,Alive,No
2,1,Aarini Dutta,Female,42,1999-11-25,9906516371,548327634657,Lawyer,"351, Rai Zila, Secunderabad 940781",12,Davanagere,No Physical Injury,Medium,Yes,Alive,No
3,2,Chaaya Memon,Female,12,2011-01-21,9989238109,674857331688,Retired,"10/341, Chaudhuri Ganj, Alwar 525534",29,Vijayanagara,No Physical Injury,Medium,Yes,Alive,Yes
4,2,Harinakshi Walla,Female,7,2002-07-14,9912848695,986758587422,Engineer,"48, Nair Ganj, Berhampur-564139",29,Vijayanagara,Major Injury,High,No,Alive,Yes
5,3,Jagvi Tata,Female,57,1974-03-09,9877238013,124340837908,Shop Keeper,"H.No. 23, Yohannan Circle, Bhimavaram-965328",21,Mandya,Major Injury,High,Yes,Alive,No
6,4,Chandani Batta,Female,50,2013-10-01,9988857784,243677899595,Teacher,"69/166, Sidhu, Begusarai-184514",3,Belagavi,Major Injury,High,No,Alive,Yes
7,4,Gaurangi Setty,Female,24,1940-10-31,9872343829,484709209002,Doctor,"14/89, Dua Ganj, Nanded 957015",3,Belagavi,Fatal Injury,Critical,Yes,Deceased,Yes
8,5,Kashvi Bhardwaj,Female,15,1961-01-12,9919423697,713595939158,Mechanic,"71/822, Gandhi Chowk, Dehri 383465",15,Hassan,Minor Injury,Low,Yes,Alive,Yes
9,6,Yauvani Seth,Female,69,1950-11-04,9906060444,384115669748,Housewife,"H.No. 09, Karpe Circle, Chennai-031051",22,Mysuru,Major Injury,High,Yes,Alive,Yes
10,6,Maya Sunder,Female,58,1958-10-08,9887563434,322585512452,Shop Keeper,"763, Chatterjee Zila, Raichur-670106",22,Mysuru,Major Injury,High,No,Alive,Yes
11,7,Chatura Kothari,Male,38,1956-11-04,9884263539,534327379617,Journalist,"24, Krish Chowk, Mango-080132",13,Dharwad,Minor Injury,Low,No,Alive,Yes
12,8,Xavier Srivastava,Male,38,1958-09-22,9883371002,967102439281,Shop Keeper,"606, Sha Road, Bhusawal-234309",14,Gadag,Minor Injury,Low,Yes,Alive,Yes
13,9,Naksh Bhandari,Male,20,1944-10-26,9985391767,254489366792,Teacher,"H.No. 812, Bir Zila, Sambhal-939909",11,Dakshina Kannada,Minor Injury,Low,Yes,Alive,Yes
